Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,118.47,123.52,117.12,123.18,123.18,161299200
2023-01-04,126.89,128.66,125.08,126.36,126.36,89113600
2023-01-05,116.62,123.55,115.60,120.34,120.34,156592200
2023-01-06,103.03,113.06,101.81,113.06,113.06,201293000
2023-01-09,116.03,123.52,114.73,123.42,123.42,180652200
2023-01-10,122.26,125.36,118.50,118.85,118.85,145060000
2023-01-11,123.22,123.79,118.32,121.43,121.43,141835300
2023-01-12,124.46,124.92,119.57,123.56,123.56,152775800
2023-01-13,124.62,125.51,122.94,122.40,122.40,142686500
2023-01-17,120.17,126.59,118.04,131.49,131.49,162089500
2023-01-18,127.32,131.03,126.26,128.78,128.78,100347400
2023-01-19,128.91,133.25,127.50,133.11,133.11,132252000
2023-01-20,127.26,133.59,126.00,133.42,133.42,160422800
2023-01-23,133.88,143.52,130.23,143.75,143.75,148476800
2023-01-24,143.97,145.00,141.89,143.89,143.89,145202700
2023-01-25,143.08,144.34,141.37,144.43,144.43,120007300
2023-01-26,146.00,160.00,145.00,160.27,160.27,305793000
2023-01-27,162.12,178.00,161.00,177.90,177.90,304127000
2023-01-30,179.61,180.70,170.82,166.66,166.66,205052600
2023-01-31,167.16,173.22,165.37,173.22,173.22,156160400
2023-02-01,173.31,181.84,173.10,181.41,181.41,155221600
2023-02-02,188.10,196.45,186.61,188.27,188.27,176744300
2023-02-03,192.45,198.50,190.41,189.98,189.98,135152100
2023-02-06,190.95,194.76,189.01,194.76,194.76,112117600
2023-02-07,196.92,198.92,190.24,197.81,197.81,122651000
2023-02-08,196.80,207.37,196.62,201.29,201.29,179945000
2023-02-09,202.85,207.30,202.31,207.32,207.32,148638000
2023-02-10,205.10,207.16,196.06,196.89,196.89,169000600
2023-02-13,193.77,194.76,189.20,193.81,193.81,129007100
2023-02-14,195.23,196.88,189.52,194.64,194.64,117566800
2023-02-15,196.89,217.65,195.34,214.24,214.24,221334100
2023-02-16,213.89,217.65,210.21,214.43,214.43,145080500
2023-02-17,214.62,217.30,212.65,214.26,214.26,110670700
2023-02-21,205.03,208.25,197.33,197.37,197.37,157353900
2023-02-22,196.41,202.31,194.04,200.86,200.86,128334500
2023-02-23,201.00,202.78,196.75,197.40,197.40,109744700
2023-02-24,196.89,197.77,191.40,196.89,196.89,113986900
2023-02-27,196.90,207.45,196.90,207.32,207.32,146159900
2023-02-28,206.42,208.88,205.35,205.71,205.71,106070300
2023-03-01,206.50,207.50,197.83,202.77,202.77,149336900
2023-03-02,202.60,205.50,197.85,202.77,202.77,121214300
2023-03-03,203.00,206.10,201.20,206.10,206.10,123445600
2023-03-06,205.02,207.80,202.12,207.63,207.63,110477400
2023-03-07,207.30,208.88,197.30,197.41,197.41,136637600
2023-03-08,198.00,199.20,192.70,193.81,193.81,112940400
2023-03-09,193.20,194.82,189.21,192.22,192.22,111205600
2023-03-10,189.95,189.95,172.22,173.44,173.44,196048700
2023-03-13,174.03,180.50,172.03,178.80,178.80,168320900
2023-03-14,182.37,183.00,175.11,180.45,180.45,128114700
2023-03-15,183.84,186.00,180.22,180.45,180.45,98900600
2023-03-16,179.75,183.50,176.31,180.13,180.13,93181600
2023-03-17,183.50,185.90,180.60,180.96,180.96,157028700
2023-03-20,180.11,182.88,177.65,182.01,182.01,95242200
2023-03-21,184.19,192.20,183.55,192.22,192.22,164823200
2023-03-22,192.41,197.20,187.86,191.16,191.16,164047400
2023-03-23,192.99,197.00,190.43,192.22,192.22,134303700
2023-03-24,191.60,194.30,186.22,189.98,189.98,132165800
2023-03-27,192.00,193.50,187.42,191.81,191.81,106845500
2023-03-28,191.63,194.99,189.50,189.19,189.19,107673700
2023-03-29,190.94,195.28,189.00,195.28,195.28,117277000
2023-03-30,194.30,197.50,192.10,195.28,195.28,110901900
2023-03-31,196.35,200.20,194.30,207.46,207.46,144285900
